No.       IRAC1_mJy    Lum_Class Teff      RA          Dec         Av
-24698       1038.8473       3    4719       166.81917      -77.439347      4.00
-3039       880.13994       3    4719       166.56407      -77.365775      1.00
-24395       185.58879       4    6485       166.78839      -77.384694     62.00
-24677       110.80305       3    4719       166.68801      -77.450700      6.00
-2981       64.350470       3    4666       166.68125      -77.442919      4.00
-25086       44.519650       3    4324       166.83928      -77.369906     29.00
-25144       41.739930       5    3960       166.81761      -77.385253     43.00
-3633       31.955950       3    4731       166.42914      -77.447719      6.00
-3404       23.150040       3    4324       166.74186      -77.380225     67.00
-24285       14.208610       5    5929       166.87471      -77.417164      6.00
-4042       10.012710       4    6013       166.69408      -77.375706     51.00
-2777       9.4744000       4    5882       166.46246      -77.331183      6.00
-24949       8.2518600       4    6752       166.76633      -77.433600      5.00
-2660       7.6657000       4    5007       166.52314      -77.479319      5.00
-24013       7.4567900       5    5929       166.73669      -77.429956      4.00
-24921       6.8006700       4    5950       166.68277      -77.473114      4.00
-3078       4.4519600       5    5772       166.26559      -77.376653      2.00
-3421       4.3306400       5    4212       166.33572      -77.383731      3.00
-4146       3.7718300       3    5075       166.62260      -77.416292     32.00
-3099       2.8877000       5    5130       166.35807      -77.373197      2.00
-2302       2.2727500       5    5052       166.56617      -77.443478      5.00
-24284       2.1905400       5    4924       166.91800      -77.423486      3.00
-2224       2.1505600       5    6099       166.25113      -77.362847      1.00
-25174       2.0162800       5    5740       166.76545      -77.408514     24.00
-24950       1.6925900       5    5764       166.93035      -77.381133     12.00
-25084       1.5436600       5    4666       166.71163      -77.434542      4.00
-3120       1.4472800       5    4760       166.23607      -77.392814      1.00
-3011       1.4078300       5    5929       166.40823      -77.359306      2.00
-3934       1.3821400       5    3575       166.53866      -77.368153      5.00
-23750       1.3321500       5    5546       166.91033      -77.395706      8.00
-24651       1.2721900       5    4541       166.75152      -77.440183      1.00
-4065       1.2149300       5    4097       166.51991      -77.442308      6.00
-2664       1.1927600       5    4572       166.43840      -77.454703      9.00
-3352       1.1390700       5    4788       166.24552      -77.426572      5.00
-3147       1.1286300       5    3094       166.36625      -77.376561      4.00
-24372       1.1286300       4    5882       166.86945      -77.427517     19.00
-24896       1.1080300       5    4106       166.79108      -77.451944      3.00
-2549       1.1080300       5    5093       166.60460      -77.451236      4.00
-2605       1.0978700       5    4933       166.61298      -77.442886      4.00
-2162       1.0293200       5    5764       166.33895      -77.341889      0.00
-24126      0.98300000       5    4091       166.95365      -77.408133      5.00
-3420      0.98300000       5    4141       166.38035      -77.417756     10.00
-3832      0.91317000       5    4155       166.58577      -77.427036      6.00
-3098      0.89650000       5    5478       166.34700      -77.388000      3.00
-3846      0.87207000       5    5927       166.60585      -77.445483      3.00
-3571      0.87207000       5    5362       166.72941      -77.407456     16.00
-2688      0.84830000       5    5244       166.69364      -77.369503     17.00
-2235      0.84053000       5    4206       166.60292      -77.351586      8.00
-3037      0.77366000       5    3667       166.52271      -77.332142      9.00
-24374      0.76657000       5    4949       166.75219      -77.420775      9.00
-24699      0.73884000       5    4998       166.70209      -77.473078      6.00
-2759      0.73207000       5    3396       166.41150      -77.446253      6.00
-4062      0.69271000       5    3166       166.43823      -77.385819      0.00
-24312      0.69271000       5    3999       166.70658      -77.455550      2.00
-4184      0.66153000       5    5610       166.40960      -77.367369      0.00
-2436      0.62023000       5    4206       166.46890      -77.415125     10.00
-4039      0.62023000       5    5876       166.79808      -77.342550     16.00
-10143      0.62023000       5    5741       166.54134      -77.425303     17.00
-10865      0.60333000       5    5124       166.85900      -77.380975     20.00
-10904      0.56566000       5    6191       166.89344      -77.349939     21.00
-3369      0.56047000       5    5595       166.53424      -77.468344      7.00
-2395      0.55024000       5    4367       166.43295      -77.356242      0.00
-2955      0.54519000       5    5093       166.65985      -77.351647      6.00
-3311      0.53034000       5    3933       166.71960      -77.353725      9.00
-10561      0.51588000       5    5794       166.71934      -77.399214     25.00
-10867      0.50647000       4    5823       166.87247      -77.344875     19.00
-10206      0.50647000       4    5989       166.56005      -77.442367     25.00
-24821      0.49722000       5    3418       166.73677      -77.473122      5.00
-3335      0.48815000       5    3661       166.53137      -77.469358      8.00
-25369      0.47924000       4    6063       166.80162      -77.448278      6.00
-24509      0.47484000       5    3411       166.88123      -77.419978     13.00
-3674      0.46190000       5    4361       166.66092      -77.318981     12.00
-2854      0.44932000       5    5504       166.42120      -77.344039      0.00
-3643      0.44520000       5    6047       166.30667      -77.392539      0.00
-10127      0.44520000       5    5909       166.54960      -77.378611     12.00
-3542      0.43707000       5    5985       166.60978      -77.465378      2.00
-10631      0.43306000       5    3878       166.76581      -77.348614     12.00
-3865      0.41357000       5    3761       166.69829      -77.345667      7.00
-3866      0.40602000       5    3664       166.50228      -77.464936      4.00
-17473      0.40230000       5    5803       166.35473      -77.395658     25.00
-10807      0.39861000       5    6041       166.84772      -77.337814     13.00
-2580      0.38775000       5    6154       166.52820      -77.334947      9.00
-2569      0.36690000       5    4652       166.36288      -77.333189      2.00
-17972      0.36354000       5    4166       166.40858      -77.329953     30.00
-9709      0.36354000       5    4231       166.33632      -77.451622     11.00
-10763      0.36354000       5    5435       166.80305      -77.405792     17.00
-10618      0.36354000       3    4980       166.74185      -77.403444     19.00
-3677      0.35690000       5    5083       166.56592      -77.462328      3.00
-9866      0.35690000       5    5695       166.41070      -77.457517      8.00
-17458      0.35690000       5    6164       166.40267      -77.400467     13.00
-18025      0.35363000       4    5961       166.60084      -77.325794     12.00
-10276      0.35363000       5    3947       166.60713      -77.387822     56.00
-2987      0.35039000       5    4951       166.37463      -77.365633      5.00
-3255      0.34718000       5    4143       166.43081      -77.346875      3.00
-2177      0.34399000       5    4095       166.50095      -77.476117      0.00
-3941      0.32851000       5    4029       166.35734      -77.333389      5.00
-3939      0.32550000       5    3815       166.45085      -77.377856      2.00
-9939      0.32252000       5    4257       166.44169      -77.453150     16.00
-9693      0.30800000       4    5957       166.34260      -77.421122     16.00
-3314      0.30518000       5    3162       166.49774      -77.352153      0.00
-9913      0.29961000       5    5791       166.43537      -77.444219     23.00
-10598      0.29414000       5    3689       166.72406      -77.431925     11.00
-3618      0.29414000       4    5815       166.43265      -77.388128     15.00
-6588      0.28877000       5    5757       166.52745      -77.473192     11.00
-10508      0.28877000       5    4949       166.71623      -77.336192     11.00
-9898      0.28090000       5    5883       166.43072      -77.441533      6.00
-9536      0.28090000       5    5751       166.26362      -77.409611      8.00
-25550      0.27832000       5    6063       166.71069      -77.468378      3.00
-3090      0.27577000       5    5454       166.36885      -77.394067      4.00
-17492      0.27074000       5    3865       166.42562      -77.391267      5.00
-9993      0.26336000       3    5112       166.48585      -77.393344      8.00
-6619      0.26095000       5    3489       166.42248      -77.460906      6.00
-17391      0.25855000       5    5392       166.76600      -77.424153      9.00
-10760      0.25618000       5    4614       166.79923      -77.414906     12.00
-17618      0.25384000       5    4155       166.49013      -77.369175     14.00
-4112      0.24920000       3    5127       166.64398      -77.436239      4.00
-6650      0.24920000       5    5709       166.72534      -77.446958      5.00
-9950      0.24920000       5    5994       166.46597      -77.399225     11.00
-3261      0.23150000       4    6043       166.63188      -77.430636      3.00
-25303      0.22938000       5    6044       166.92845      -77.436447      2.00
-17463      0.22938000       5    4056       166.91510      -77.399531     12.00
-9440      0.22728000       5    5600       166.21472      -77.408886      4.00
-17465      0.22728000       4    6128       166.39103      -77.397981      7.00
-2566      0.22108000       5    5965       166.41771      -77.387089      1.00
-6611      0.22108000       5    4095       166.49439      -77.463064      9.00
-17755      0.21705000       5    5284       166.64518      -77.352917      6.00
-10619      0.21705000       5    3440       166.75187      -77.369717     41.00
-6637      0.21308000       4    6083       166.76675      -77.452578     14.00
