No.       IRAC1_mJy    Lum_Class Teff      RA          Dec         Av
2    0.0825539       5    3048       166.65878      -77.358467     20.24
56    0.0491519       5    3080       166.39644      -77.315659      0.00
115    0.0121735       5    3412       166.59305      -77.379707     44.01
125    0.0207119       5    3032       166.37611      -77.422760     19.73
145    0.0322210       5    3667       166.26054      -77.392242     26.46
161    0.0196777       5    3231       166.76309      -77.461243     21.86
177    0.0874191       5    4541       166.60086      -77.409035     56.81
184   0.00688311       5    2784       166.52234      -77.375519     13.61
196   0.00826950       5    3149       166.76659      -77.409485     23.50
232    0.0426683       5    3010       166.86357      -77.451416      6.21
240    0.0247502       5    3213       166.36246      -77.433640     14.71
252    0.0624159       5    3414       166.84335      -77.345474     16.47
273  0.000546447       5    2904       166.66347      -77.380127     49.04
279   0.00582057       5    3012       166.43453      -77.400307     21.66
311   0.00102971       5    2946       166.53206      -77.453934     24.68
316    0.0224914       5    2052       166.72090      -77.452034      4.32
320    0.0542377       5    3633       166.80713      -77.401154     23.36
322    0.0269003       5    3761       166.84308      -77.407295     37.58
331    0.0502812       5    2993       166.31207      -77.488625      0.13
340    0.0620085       5    3166       166.22492      -77.384285      5.47
342    0.0437954       5    3236       166.45387      -77.362915      4.45
353    0.0102407       5    3329       166.80330      -77.392761     38.95
377   0.00221336       5    2666       166.27689      -77.414062      9.79
413    0.0375207       5    3094       166.77303      -77.446716     16.16
415    0.0170311       5    3166       166.84511      -77.427231     19.43
463    0.0755640       5    3207       166.99345      -77.361618      0.00
474    0.0875012       5    3391       166.30563      -77.463837      7.01
509    0.0484301       5    3177       167.03766      -77.416458      0.00
534  0.000106559       5    2923       166.67642      -77.389526     59.38
556    0.0523739       5    3166       166.49114      -77.498154      0.00
593    0.0729413       5    3520       166.61369      -77.453964      3.09
600    0.0194509       5    3737       166.34933      -77.410583     21.96
609    0.0161551       5    3028       166.45633      -77.340462      2.60
621    0.0134442       5    3128       166.55550      -77.415863     27.99
623    0.0557077       5    3248       167.02487      -77.435097      0.00
665   0.00406464       5    2172       166.23131      -77.470261      1.89
668    0.0456901       5    3534       167.00925      -77.390495      0.00
669    0.0559887       5    3587       166.19235      -77.405754      2.92
688    0.0196942       5    3195       166.77402      -77.428886     17.28
743    0.0189288       5    3055       166.36803      -77.480087      3.60
747    0.0252546       5    3065       167.09848      -77.338989      0.00
783    0.0625381       5    3513       166.33640      -77.465652      7.06
798   0.00742731       5    4808       166.59151      -77.402954     80.39
831    0.0137372       5    3057       166.35977      -77.345688      4.84
853    0.0164901       5    3171       166.47217      -77.383102     16.05
861    0.0710963       5    3339       166.14351      -77.332726      0.00
870    0.0289812       5    3450       166.32738      -77.336220     25.81
920    0.0233383       5    3134       166.98750      -77.440636      0.00
924    0.0115542       5    3143       166.32513      -77.303177      0.00
926    0.0175688       5    3074       167.01531      -77.362213      0.00
928   0.00562361       5    3084       166.33316      -77.404068     27.28
942    0.0337843       5    3200       166.69685      -77.303894      0.00
988   0.00367782       5    2971       166.16235      -77.463997      1.25
994   0.00489663       5    2805       166.30913      -77.418274      9.47
998    0.0138769       5    2005       167.01039      -77.467491      0.00
