wavelength       flux
  microns         mJy
      
      0.80013400       2.3710689
      0.80040097       2.4597719
      0.80066800       2.4689231
      0.80093497       2.4569505
      0.80120200       2.4720240
      0.80146903       2.4676071
      0.80173600       2.4742224
      0.80200303       2.4714964
      0.80227000       2.4705785
      0.80253798       2.4735669
      0.80280501       2.4505612
      0.80307299       2.4147881
      0.80334002       2.4751327
      0.80360800       2.4524269
      0.80387598       2.4619998
      0.80414498       2.4742114
      0.80441201       2.4738351
      0.80467999       2.4624460
      0.80494899       2.3460219
      0.80521703       2.4534188
      0.80548501       2.4734961
      0.80575401       2.4525380
      0.80602199       2.4719062
      0.80629098       2.4757881
      0.80655998       2.4740214
      0.80682898       2.4765694
      0.80709797       2.4669871
      0.80736703       2.4381586
      0.80763602       2.4306725
      0.80790502       2.4781791
      0.80817401       2.4649374
      0.80844402       2.4713276
      0.80871302       2.4010322
      0.80898303       2.4800990
      0.80925298       2.4582352
      0.80952299       2.4326306
      0.80979198       2.4532132
      0.81006199       2.4289327
      0.81033200       2.4777384
      0.81060201       2.4735552
      0.81087202       2.4754374
      0.81114298       2.4722898
      0.81141299       2.4764774
      0.81168300       2.4741923
      0.81195402       2.4722896
      0.81222498       2.4806110
      0.81249499       2.4819251
      0.81276602       2.4755175
      0.81303698       2.4797345
      0.81330800       2.4765634
      0.81357902       2.4832721
      0.81384999       2.4785795
      0.81412202       2.4760595
      0.81439298       2.4773997
      0.81466401       2.4795825
      0.81493598       2.4791450
      0.81520802       2.4525108
      0.81547898       2.4798272
      0.81575102       2.4776768
      0.81602299       2.4827316
      0.81629598       2.4743783
      0.81656700       2.4589868
      0.81683898       2.4822643
      0.81711203       2.4786853
      0.81738400       2.4809817
      0.81765699       2.4777186
      0.81792998       2.4851058
      0.81820202       2.4640313
      0.81847501       2.3684292
      0.81874698       2.4837204
      0.81901997       2.4618184
      0.81929302       2.4884201
      0.81956702       2.4202215
      0.81984001       2.3879651
      0.82011300       2.4303738
      0.82038599       2.4643809
      0.82066000       2.4609778
      0.82093298       2.4466255
      0.82120699       2.4766476
      0.82147998       2.3945838
      0.82175398       2.4731056
      0.82202798       2.4889969
      0.82230198       2.3625029
      0.82257599       2.4875505
      0.82284999       2.4917377
      0.82312500       2.4856564
      0.82339901       2.3808742
      0.82367402       2.4788214
      0.82394898       2.4864678
      0.82422298       2.4470250
      0.82449800       2.4859788
      0.82477301       2.4930654
      0.82504803       2.4212452
      0.82532299       2.4811332
      0.82559800       2.4854257
      0.82587302       2.4842624
      0.82614797       2.4885140
      0.82642299       2.4909463
      0.82669902       2.4831222
      0.82697397       2.4845301
      0.82725000       2.4828634
      0.82752699       2.4832542
      0.82780200       2.4790213
      0.82807702       2.4864439
      0.82835299       2.4858029
      0.82862997       2.4888670
      0.82890600       2.4800721
      0.82918298       2.4918934
      0.82945901       2.4524464
      0.82973498       2.4732250
      0.83001202       2.4835267
      0.83028901       2.4838570
      0.83056498       2.4825451
      0.83084202       2.4256411
      0.83111900       2.4616321
      0.83139598       2.4729446
      0.83167398       2.4893847
      0.83195102       2.4586963
      0.83222800       2.4839676
      0.83250499       2.4890222
      0.83278298       2.4697630
      0.83306098       2.3555134
      0.83333802       2.4308756
      0.83361602       2.4391353
      0.83389300       2.4825272
      0.83417100       2.4486829
      0.83444899       2.4778658
      0.83472800       2.4293671
      0.83500600       2.4701061
      0.83528399       2.4929598
      0.83556300       2.4846842
      0.83584100       2.4913046
      0.83612001       2.4810219
      0.83639902       2.4808182
      0.83667803       2.4341044
      0.83695698       2.4950311
      0.83723497       2.4874682
      0.83751500       2.4850980
      0.83779401       2.4912591
      0.83807302       2.4772488
      0.83835298       2.4777451
      0.83863199       2.4819352
      0.83891100       2.3395655
      0.83919102       2.4832963
      0.83947098       2.4947433
      0.83974999       2.4946318
      0.84003001       2.4712972
      0.84030998       2.4613312
      0.84059000       2.4910857
      0.84087002       2.4966364
      0.84115100       2.4958330
      0.84143102       2.4718457
      0.84171200       2.4919000
      0.84199202       2.4466729
      0.84227300       2.4924771
      0.84255397       2.4703159
      0.84283501       2.4662633
      0.84311599       2.5004387
      0.84339702       2.4890204
      0.84367800       2.4098446
      0.84395897       2.4916475
      0.84424001       2.4390339
      0.84452200       2.4891515
      0.84480298       2.4618459
      0.84508502       2.4994843
      0.84536600       2.4986618
      0.84564799       2.5021788
      0.84592998       2.4981954
      0.84621298       2.4942859
      0.84649402       2.4960248
      0.84677601       2.4822804
      0.84705800       2.3715262
      0.84734100       2.4773302
      0.84762299       2.5004930
      0.84790599       2.5029469
      0.84818900       2.4943301
      0.84847099       2.4881025
      0.84875399       2.5015454
      0.84903699       2.5023320
      0.84931999       2.4951833
      0.84960300       2.4846573
      0.84988600       2.1872648
      0.85017002       2.1147958
      0.85045302       2.4350202
      0.85073602       2.4791664
      0.85101998       2.4905636
      0.85130399       2.4979052
      0.85158700       2.3897509
      0.85187101       2.4443406
      0.85215598       2.4908198
      0.85243899       2.5031845
      0.85272300       2.4958054
      0.85300797       2.4268065
      0.85329199       2.4845035
      0.85357702       2.4659057
      0.85386097       2.3972103
      0.85414600       2.2013730
      0.85443097       1.4938399
      0.85471499       2.1432268
      0.85500002       2.3873050
      0.85528499       2.4545651
      0.85557002       2.4836895
      0.85585600       2.4459739
      0.85614097       2.4981011
      0.85642600       2.4965172
      0.85671198       2.5027068
      0.85699701       2.5018718
      0.85728300       2.5045879
      0.85756898       2.5051470
      0.85785401       2.5061451
      0.85813999       2.5127814
      0.85842597       2.4548105
      0.85871202       2.5011206
      0.85899901       2.5043232
      0.85928500       2.5055727
      0.85957199       2.4847233
      0.85985798       2.4613055
      0.86014497       2.4401817
      0.86043203       2.4885330
      0.86071801       2.4768730
      0.86100501       2.5025435
      0.86129200       2.4287682
      0.86157900       2.5080227
      0.86186701       2.4894620
      0.86215401       2.5128920
      0.86244100       2.4613296
      0.86272901       2.5043427
      0.86301601       2.5166497
      0.86330402       2.5092368
      0.86359102       2.5103502
      0.86387998       2.4997262
      0.86416698       2.4969478
      0.86445498       2.4858339
      0.86474299       2.5129226
      0.86503202       2.4515481
      0.86532098       2.5021132
      0.86560899       2.4853549
      0.86589700       2.4525085
      0.86618602       2.2480015
      0.86647499       1.5854154
      0.86676401       2.2796128
      0.86705297       2.4360880
      0.86734200       2.4703718
      0.86763102       2.3884246
      0.86791998       2.5027167
      0.86820900       2.4498113
      0.86849898       2.5073056
      0.86878800       2.4984031
      0.86907798       2.3104872
      0.86936700       2.4988021
      0.86965698       2.4922544
      0.86994702       2.5236997
      0.87023699       2.4371342
      0.87052798       2.5103201
      0.87081701       2.5197092
      0.87110698       2.5194583
      0.87139797       2.4351181
      0.87168801       2.5020008
      0.87197900       2.4831364
      0.87226897       2.5150858
      0.87256002       2.5232305
      0.87285101       2.5221289
      0.87314200       2.4831240
      0.87343299       2.5232848
      0.87372398       2.4383014
      0.87401497       2.4818043
      0.87430698       2.5085653
      0.87459898       2.4651821
      0.87489003       2.4833246
      0.87518102       2.4261112
      0.87547302       2.4026005
