wavelength       flux
  microns         mJy
      
     0.800134  2.69935e-06
     0.800401  2.79593e-06
     0.800668  2.80936e-06
     0.800935  2.81363e-06
     0.801202  2.83090e-06
     0.801469  2.83746e-06
     0.801736  2.85157e-06
     0.802003  2.86051e-06
     0.802270  2.87013e-06
     0.802538  2.88052e-06
     0.802805  2.87009e-06
     0.803073  2.85962e-06
     0.803340  2.91131e-06
     0.803608  2.90479e-06
     0.803876  2.91974e-06
     0.804145  2.94062e-06
     0.804412  2.95020e-06
     0.804680  2.95257e-06
     0.804949  2.85427e-06
     0.805217  2.96196e-06
     0.805485  2.99037e-06
     0.805754  2.98135e-06
     0.806022  3.01177e-06
     0.806291  3.02445e-06
     0.806560  3.03379e-06
     0.806829  3.04517e-06
     0.807098  3.04505e-06
     0.807367  3.04069e-06
     0.807636  3.04011e-06
     0.807905  3.08888e-06
     0.808174  3.09188e-06
     0.808444  3.10750e-06
     0.808713  3.04615e-06
     0.808983  3.13239e-06
     0.809253  3.13299e-06
     0.809523  3.12540e-06
     0.809792  3.14864e-06
     0.810062  3.11303e-06
     0.810332  3.18513e-06
     0.810602  3.19613e-06
     0.810872  3.20818e-06
     0.811143  3.21738e-06
     0.811413  3.22959e-06
     0.811683  3.24167e-06
     0.811954  3.25048e-06
     0.812225  3.26662e-06
     0.812495  3.27860e-06
     0.812766  3.28713e-06
     0.813037  3.30009e-06
     0.813308  3.31000e-06
     0.813579  3.32469e-06
     0.813850  3.33494e-06
     0.814122  3.34305e-06
     0.814393  3.35537e-06
     0.814664  3.36929e-06
     0.814936  3.38136e-06
     0.815208  3.37666e-06
     0.815479  3.40521e-06
     0.815751  3.41582e-06
     0.816023  3.42934e-06
     0.816296  3.43674e-06
     0.816567  3.43109e-06
     0.816839  3.46691e-06
     0.817112  3.47628e-06
     0.817384  3.49016e-06
     0.817657  3.49990e-06
     0.817930  3.51708e-06
     0.818202  3.51570e-06
     0.818475  3.40170e-06
     0.818747  3.55161e-06
     0.819020  3.55205e-06
     0.819293  3.57915e-06
     0.819567  3.51743e-06
     0.819840  3.48161e-06
     0.820113  3.56226e-06
     0.820386  3.61451e-06
     0.820660  3.62185e-06
     0.820933  3.62146e-06
     0.821207  3.65857e-06
     0.821480  3.53717e-06
     0.821754  3.68126e-06
     0.822028  3.70730e-06
     0.822302  3.56391e-06
     0.822576  3.73419e-06
     0.822850  3.74937e-06
     0.823125  3.75750e-06
     0.823399  3.64563e-06
     0.823674  3.78109e-06
     0.823949  3.80014e-06
     0.824223  3.77046e-06
     0.824498  3.82704e-06
     0.824773  3.84397e-06
     0.825048  3.79476e-06
     0.825323  3.86525e-06
     0.825598  3.88038e-06
     0.825873  3.89017e-06
     0.826148  3.90904e-06
     0.826423  3.92467e-06
     0.826699  3.93414e-06
     0.826974  3.94906e-06
     0.827250  3.96179e-06
     0.827527  3.97741e-06
     0.827802  3.98807e-06
     0.828077  4.00699e-06
     0.828353  4.02070e-06
     0.828630  4.03677e-06
     0.828906  4.04583e-06
     0.829183  4.06716e-06
     0.829459  4.04246e-06
     0.829735  4.07593e-06
     0.830012  4.10552e-06
     0.830289  4.11980e-06
     0.830565  4.12816e-06
     0.830842  4.05738e-06
     0.831119  4.13380e-06
     0.831396  4.15793e-06
     0.831674  4.19690e-06
     0.831951  4.16836e-06
     0.832228  4.22394e-06
     0.832505  4.24147e-06
     0.832783  4.21933e-06
     0.833061  4.06293e-06
     0.833338  4.21951e-06
     0.833616  4.27495e-06
     0.833893  4.31494e-06
     0.834171  4.29353e-06
     0.834449  4.33905e-06
     0.834728  4.25703e-06
     0.835006  4.35212e-06
     0.835284  4.39802e-06
     0.835563  4.40478e-06
     0.835841  4.42872e-06
     0.836120  4.43638e-06
     0.836399  4.45067e-06
     0.836678  4.39714e-06
     0.836957  4.49423e-06
     0.837235  4.50628e-06
     0.837515  4.51931e-06
     0.837794  4.54090e-06
     0.838073  4.52331e-06
     0.838353  4.53864e-06
     0.838632  4.56400e-06
     0.838911  4.34076e-06
     0.839191  4.60500e-06
     0.839471  4.64153e-06
     0.839750  4.65716e-06
     0.840030  4.63288e-06
     0.840310  4.65796e-06
     0.840590  4.70589e-06
     0.840870  4.72697e-06
     0.841151  4.74325e-06
     0.841431  4.71170e-06
     0.841712  4.77427e-06
     0.841992  4.71136e-06
     0.842273  4.80947e-06
     0.842554  4.79841e-06
     0.842835  4.78091e-06
     0.843116  4.86642e-06
     0.843397  4.87531e-06
     0.843678  4.71851e-06
     0.843959  4.91342e-06
     0.844240  4.85831e-06
     0.844522  4.93714e-06
     0.844803  4.93920e-06
     0.845085  4.99021e-06
     0.845366  5.00042e-06
     0.845648  5.02742e-06
     0.845930  5.04198e-06
     0.846213  5.05822e-06
     0.846494  5.07750e-06
     0.846776  5.08557e-06
     0.847058  4.89785e-06
     0.847341  5.11623e-06
     0.847623  5.14962e-06
     0.847906  5.17459e-06
     0.848189  5.18575e-06
     0.848471  5.19683e-06
     0.848754  5.22667e-06
     0.849037  5.24354e-06
     0.849320  5.24378e-06
     0.849603  5.22916e-06
     0.849886  4.58369e-06
     0.850170  4.43104e-06
     0.850453  5.22513e-06
     0.850736  5.32734e-06
     0.851020  5.36108e-06
     0.851304  5.38776e-06
     0.851587  5.21367e-06
     0.851871  5.34032e-06
     0.852156  5.41479e-06
     0.852439  5.46567e-06
     0.852723  5.47185e-06
     0.853008  5.37784e-06
     0.853292  5.47478e-06
     0.853577  5.44025e-06
     0.853861  5.28878e-06
     0.854146  4.76835e-06
     0.854431  3.30724e-06
     0.854715  4.69147e-06
     0.855000  5.34597e-06
     0.855285  5.54299e-06
     0.855570  5.63432e-06
     0.855856  5.58897e-06
     0.856141  5.71883e-06
     0.856426  5.74635e-06
     0.856712  5.77694e-06
     0.856997  5.80098e-06
     0.857283  5.82250e-06
     0.857569  5.84884e-06
     0.857854  5.87153e-06
     0.858140  5.89783e-06
     0.858426  5.82604e-06
     0.858712  5.93478e-06
     0.858999  5.96170e-06
     0.859285  5.98784e-06
     0.859572  5.98869e-06
     0.859858  5.97544e-06
     0.860145  5.98955e-06
     0.860432  6.05906e-06
     0.860718  6.07027e-06
     0.861005  6.11563e-06
     0.861292  5.98499e-06
     0.861579  6.16225e-06
     0.861867  6.16109e-06
     0.862154  6.21287e-06
     0.862441  6.14089e-06
     0.862729  6.24962e-06
     0.863016  6.28521e-06
     0.863304  6.29957e-06
     0.863591  6.31911e-06
     0.863880  6.33387e-06
     0.864167  6.35362e-06
     0.864455  6.35628e-06
     0.864743  6.40705e-06
     0.865032  6.31143e-06
     0.865321  6.42358e-06
     0.865609  6.40160e-06
     0.865897  6.30690e-06
     0.866186  5.71300e-06
     0.866475  4.08859e-06
     0.866764  5.92130e-06
     0.867053  6.40580e-06
     0.867342  6.53739e-06
     0.867631  6.38315e-06
     0.867920  6.64291e-06
     0.868209  6.60530e-06
     0.868499  6.70521e-06
     0.868788  6.72766e-06
     0.869078  6.25954e-06
     0.869367  6.77240e-06
     0.869657  6.80899e-06
     0.869947  6.87104e-06
